pickup_hexagon_r9,dropoff_hexagon_r9,hit_count,label,report_date
892a100c68fffff,892a100f12bffff,28,TOP_10_ROUTES,2014-03-02
892a100c68fffff,,851,TOP_10_PICKUP_HEXAGONS,2014-03-02
892a100d4abffff,892a100d4abffff,44,TOP_10_ROUTES,2014-03-07
892a100899bffff,892a1008d8bffff,27,TOP_10_ROUTES,2014-03-07
892a100c68fffff,892a100f12bffff,27,TOP_10_ROUTES,2014-03-07
892a100c68fffff,,951,TOP_10_PICKUP_HEXAGONS,2014-03-07
892a100c5afffff,,846,TOP_10_PICKUP_HEXAGONS,2014-03-07
,892a100f52bffff,293,TOP_10_DROPOFF_HEXAGONS,2014-03-07
,892a1008d8bffff,286,TOP_10_DROPOFF_HEXAGONS,2014-03-07
,892a1008cafffff,216,TOP_10_DROPOFF_HEXAGONS,2014-03-07
,892a100da73ffff,199,TOP_10_DROPOFF_HEXAGONS,2014-03-07
,892a1008cafffff,220,TOP_10_DROPOFF_HEXAGONS,2014-03-01
892a100c68fffff,,1033,TOP_10_PICKUP_HEXAGONS,2014-03-01
892a100c5afffff,,789,TOP_10_PICKUP_HEXAGONS,2014-03-01
892a100d4abffff,892a100d4abffff,30,TOP_10_ROUTES,2014-03-05
892a1008d67ffff,892a1008d8bffff,29,TOP_10_ROUTES,2014-03-05
,892a1008d8bffff,199,TOP_10_DROPOFF_HEXAGONS,2014-03-05
892a100c68fffff,,791,TOP_10_PICKUP_HEXAGONS,2014-03-05
892a100d4abffff,892a100d4abffff,52,TOP_10_ROUTES,2014-03-06
892a100d087ffff,892a100d087ffff,34,TOP_10_ROUTES,2014-03-06
892a1008d67ffff,892a1008d8bffff,27,TOP_10_ROUTES,2014-03-06
,892a100f52bffff,232,TOP_10_DROPOFF_HEXAGONS,2014-03-06
,892a1008d8bffff,212,TOP_10_DROPOFF_HEXAGONS,2014-03-06
892a100c68fffff,,860,TOP_10_PICKUP_HEXAGONS,2014-03-06
892a100c5afffff,,738,TOP_10_PICKUP_HEXAGONS,2014-03-06
,892a1008d8bffff,226,TOP_10_DROPOFF_HEXAGONS,2014-03-04
892a100c68fffff,,693,TOP_10_PICKUP_HEXAGONS,2014-03-04
892a100d4abffff,892a100d4abffff,37,TOP_10_ROUTES,2014-03-03
,892a1008d8bffff,209,TOP_10_DROPOFF_HEXAGONS,2014-03-03
892a100c68fffff,,711,TOP_10_PICKUP_HEXAGONS,2014-03-03